Breed;Season;Happiness;season
1;Summer;5884;
1;Summer;6834;
1;Summer;5076;
1;Summer;6399;
1;Summer;4515;
1;Summer;5027;
1;Summer;6487;
1;Summer;7356;
1;Summer;6087;
1;Winter;6487;
1;Winter;7356;
1;Winter;6087;
1;Winter;4043;
1;Winter;7339;
1;Winter;3868;
1;Winter;4823;
1;Winter;7022;
1;Winter;6688;
0;Summer;3543;
0;Summer;6839;
0;Summer;3368;
0;Summer;4323;
0;Summer;6522;
0;Summer;6188;
0;Summer;4286;
0;Summer;5041;
0;Summer;6848;
0;Summer;5575;
0;Winter;5032;
0;Winter;8043;
0;Winter;4503;
0;Winter;5276;
0;Winter;7479;
0;Winter;7342;
0;Winter;5950;
0;Winter;6823;
0;Winter;7595;
0;Winter;5586;
